Brand,ITEM_DSCR,2018,2019,PctChg
BRAND 1,PRODUCT 1,4497,4005,-0.109406271
BRAND 1,PRODUCT 2,5840,4879,-0.164554795
BRAND 1,PRODUCT 3,9772,8698,-0.109905853
BRAND 1,PRODUCT 4,4355,4763,0.093685419
BRAND 2,PRODUCT 5,707,1,-0.998585573
BRAND 2,PRODUCT 6,1086,2,-0.998158379
BRAND 2,PRODUCT 7,2308,1,-0.999566724
BRAND 2,PRODUCT 8,1192,1,-0.999161074
BRAND 2,PRODUCT 9,7716,7539,-0.022939347
BRAND 2,PRODUCT 10,5100,7003,0.373137255
BRAND 2,PRODUCT 11,8447,8193,-0.030069847
BRAND 2,PRODUCT 12,10338,11077,0.071483846
BRAND 3,PRODUCT 13,754,3,-0.99602122
BRAND 3,PRODUCT 14,851,9,-0.989424207
BRAND 3,PRODUCT 15,1082,7,-0.993530499
BRAND 3,PRODUCT 16,882,3,-0.996598639
BRAND 3,PRODUCT 17,817,4,-0.995104039
BRAND 3,PRODUCT 18,1412,2,-0.998583569
BRAND 4,PRODUCT 19,35,1,-0.971428571
BRAND 4,PRODUCT 20,65,0,-1
BRAND 4,PRODUCT 21,30,0,-1
BRAND 5,PRODUCT 22,1601,3542,1.21236727
BRAND 5,PRODUCT 23,211,251,0.18957346
BRAND 5,PRODUCT 24,39,1,-0.974358974
BRAND 5,PRODUCT 25,900,2161,1.401111111
BRAND 5,PRODUCT 26,635,35,-0.94488189
BRAND 5,PRODUCT 27,249,1082,3.345381526
BRAND 5,PRODUCT 28,4364,4039,-0.074472961
BRAND 5,PRODUCT 29,1876,3020,0.609808102
BRAND 5,PRODUCT 30,2121,2773,0.307402169
BRAND 5,PRODUCT 31,5117,7995,0.562438929
BRAND 5,PRODUCT 32,3188,4171,0.308343789
BRAND 5,PRODUCT 33,414,738,0.782608696
BRAND 5,PRODUCT 34,30,1661,54.36666667
BRAND 5,PRODUCT 35,89,3,-0.966292135
BRAND 5,PRODUCT 36,0,2258,#DIV/0!
BRAND 5,PRODUCT 37,0,1869,#DIV/0!
BRAND 5,PRODUCT 38,1120,3415,2.049107143
BRAND 5,PRODUCT 39,1362,75,-0.944933921
BRAND 5,PRODUCT 40,1373,1407,0.024763292
BRAND 5,PRODUCT 41,44,0,-1
BRAND 6,PRODUCT 42,1723,1843,0.069645966
BRAND 6,PRODUCT 43,11015,9428,-0.14407626
BRAND 6,PRODUCT 44,6,10,0.666666667
BRAND 6,PRODUCT 45,49,29,-0.408163265
BRAND 6,PRODUCT 46,4045,3885,-0.039555006
BRAND 6,PRODUCT 47,4566,5356,0.173017959
BRAND 6,PRODUCT 48,9,1,-0.888888889
BRAND 6,PRODUCT 49,18,13,-0.277777778
BRAND 6,PRODUCT 50,54,0,-1
BRAND 6,PRODUCT 51,42,0,-1
BRAND 7,PRODUCT 52,0,1029,#DIV/0!
